,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_2,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_1_x,hazard_1_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,local_collision_flag,global_collision_flag,time_to_collision_flag
10,10,401.533,10.8952,0.00641845,1898.26,7.67034,0.000153502,-0.501802,-179.761,1291.7,0.000147866,-0.501704,-177.181,0.010793,0.000153502,0.475639,0.00058492,-0.00326962,4.64995,0.000955464,10.8948,0.00417962,4.65014,-179.761,0.124936,0.00996134,0.0,0.371814,0.495,0.0,-1.0,0.271142,1.64977,7.78e-05,1851.37,-6.73245,0.0,0.0,0.0,0.0,17.0071,-7.01e-06,17.0071,0.0,0.000944143,0.98,0.0683061,1261.62,-0.0570489,0.0,-3.73e-19,0.0,1.87e-17,11.7682,-0.00614692,11.7682,0.0,1.19717,-2.86e-10,0.377382,6108.67,664.74,0.0,8.14e-12,0.0,7.96e-17,54.0,-0.0339655,54.0,0.0,1.44149,8.19e-11,-0.306427,6622.42,-599.706,0.0,-8.49e-09,0.0,-2.18e-08,48.5,0.0275813,48.5,0.0,-1.3032,999.0,2.0,1.0,17.232693280958745,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1851.37,-6.73245,False,-0.999997946650012,0.0020264983985718,1899.7579012875724,8.176592637216444,-179.761,False,False,inf
11,11,401.549,10.8885,0.00414073,1898.24,7.67025,0.000162574,-0.500945,-179.761,1296.89,6.83e-06,-0.500846,-176.838,0.00787898,0.000162574,0.399805,0.00121425,-0.00326449,4.66862,0.000961104,10.8881,0.00189906,4.66881,-179.761,-0.443206,0.00942841,0.0,0.375106,0.495,0.0,-1.0,0.271183,1.64976,7.77e-05,1851.46,-6.73237,0.0,0.0,0.0,0.0,17.1148,-6.99e-06,17.1148,0.0,0.000936598,0.98,0.0705354,1261.68,-0.0556901,0.0,-1.25e-19,0.0,-3.41e-18,11.8321,-0.00634786,11.8321,0.0,1.22932,-3e-10,0.377381,6108.42,664.649,0.0,3.98e-12,0.0,3.89e-17,54.0,-0.033964,54.0,0.0,1.44149,6.4e-11,-0.306426,6622.22,-599.836,0.0,-7.21e-09,0.0,-2.18e-08,48.5,0.0275802,48.5,0.0,-1.30319,999.0,2.0,1.0,17.21269800358158,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1851.46,-6.73237,False,-0.999997946650012,0.0020264983985718,1899.7379012875724,8.176502637216444,-179.761,False,False,inf
12,12,401.565,10.8758,0.0129547,1898.22,7.67016,0.000168165,-0.500166,-179.761,1302.12,-0.000174124,-0.500068,-176.677,0.000698223,0.000168165,1.41626,-0.000883462,-0.00325793,4.68743,0.00101341,10.8753,0.0106032,4.68762,-179.761,0.595778,0.0101511,0.0,0.375106,0.495,0.0,-1.0,0.271224,1.64976,7.76e-05,1851.54,-6.73228,0.0,0.0,0.0,0.0,17.2224,-6.98e-06,17.2224,0.0,0.000928926,0.98,0.0727789,1261.74,-0.0543186,0.0,1.54e-19,0.0,-2.82e-17,11.8961,-0.00655012,11.8961,0.0,1.26162,-3e-10,0.377379,6108.16,664.558,0.0,-7.76e-13,0.0,-7.82e-18,54.0,-0.0339623,54.0,0.0,1.44148,5.38e-11,-0.306424,6622.01,-599.966,0.0,-5.58e-09,0.0,-2.18e-08,48.5,0.0275788,48.5,0.0,-1.30318,999.0,2.0,1.0,17.19270273766175,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1851.54,-6.73228,False,-0.999997946650012,0.0020264983985718,1899.7179012875724,8.176412637216444,-179.761,False,False,inf
13,13,401.581,10.8812,0.0249967,1898.2,7.67007,0.000156133,-0.499526,-179.761,1307.37,-8.49e-05,-0.499428,-176.721,-0.00742029,0.000156133,2.9523,-0.000353225,-0.00325144,4.70633,0.00101042,10.8808,0.0226605,4.70652,-179.761,0.525005,0.00972208,0.0,0.375106,0.495,0.0,-1.0,0.271265,1.64976,7.74e-05,1851.63,-6.73219,0.0,0.0,0.0,0.0,17.3298,-6.97e-06,17.3298,0.0,0.000921135,0.98,0.0750226,1261.8,-0.0529352,0.0,3.95e-19,0.0,-4.94e-17,11.9599,-0.00675223,11.9599,0.0,1.29381,-3.1e-10,0.377379,6107.91,664.467,0.0,-4.72e-12,0.0,-4.65e-17,54.0,-0.0339607,54.0,0.0,1.44148,3.69e-11,-0.306422,6621.8,-600.095,0.0,-4.32e-09,0.0,-2.18e-08,48.5,0.0275775,48.5,0.0,-1.30318,999.0,2.0,1.0,17.172707483239282,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1851.63,-6.73219,False,-0.999997946650012,0.0020264983985718,1899.6979012875724,8.176322637216444,-179.761,False,False,inf
14,14,401.597,10.8986,0.0125085,1898.18,7.66997,0.000147442,-0.498985,-179.76,1312.65,0.000355761,-0.498887,-176.758,-0.0125247,0.000147442,1.25258,0.000902673,-0.00324645,4.72534,0.00102172,10.8982,0.0101519,4.72553,-179.76,1.77007,0.0102151,0.0,0.378397,0.495,0.0,-1.0,0.271307,1.64975,7.71e-05,1851.72,-6.73211,0.0,0.0,0.0,0.0,17.4354,-6.94e-06,17.4354,0.0,0.000912549,0.98,0.0772678,1261.86,-0.0514728,0.0,3.75e-19,0.0,-4.7e-17,12.0226,-0.00695341,12.0226,0.0,1.32533,-3.83e-10,0.377383,6107.65,664.378,0.0,-3.22e-12,0.0,-3.18e-17,54.0,-0.0339599,54.0,0.0,1.4415,-2.34e-11,-0.306423,6621.6,-600.222,0.0,-5.51e-09,0.0,-2.18e-08,48.5,0.0275768,48.5,0.0,-1.30318,999.0,2.0,1.0,17.152712418183402,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1851.72,-6.73211,False,-0.9999979111286345,0.0020439516549447,1899.677892451569,8.176248780448676,-179.76,False,False,inf
15,15,401.613,10.8465,0.00553064,1898.16,7.66988,0.000147324,-0.498514,-179.76,1317.95,0.000818851,-0.498416,-176.263,-0.0165082,0.000147324,0.13597,-0.000325475,-0.00324196,4.74442,0.000993607,10.846,0.00325901,4.74461,-179.76,-0.00905678,0.0103394,0.0,0.375106,0.495,0.0,-1.0,0.271349,1.64975,7.69e-05,1851.81,-6.73202,0.0,0.0,0.0,0.0,17.5409,-6.92e-06,17.5409,0.0,0.000903963,0.98,0.079513,1261.92,-0.0500104,0.0,3.56e-19,0.0,-4.46e-17,12.0853,-0.00715458,12.0853,0.0,1.35685,-4.56e-10,0.377387,6107.4,664.288,0.0,-1.72e-12,0.0,-1.72e-17,54.0,-0.0339592,54.0,0.0,1.44151,-8.38e-11,-0.306424,6621.4,-600.349,0.0,-6.69e-09,0.0,-2.18e-08,48.5,0.027576,48.5,0.0,-1.30319,999.0,2.0,1.0,17.13271718713654,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1851.81,-6.73202,False,-0.9999979111286345,0.0020439516549447,1899.657892451569,8.176158780448676,-179.76,False,False,inf
16,16,401.629,10.8709,0.00432534,1898.14,7.66979,0.000149315,-0.498092,-179.76,1323.26,-0.000511363,-0.497995,-176.183,-0.0186235,0.000149315,1.24893,0.000437508,-0.00323875,4.76355,0.000984594,10.8704,0.00207833,4.76374,-179.76,1.58585,0.010222,0.0,0.375106,0.495,0.0,-1.0,0.271391,1.64975,7.66e-05,1851.89,-6.73193,0.0,0.0,0.0,0.0,17.6478,-6.89e-06,17.6478,0.0,0.000894941,0.98,0.0818993,1261.98,-0.048485,0.0,3.38e-19,0.0,-4.22e-17,12.1488,-0.0073695,12.1488,0.0,1.39035,-5.53e-10,0.377389,6107.15,664.197,0.0,-1.16e-12,0.0,-1.17e-17,54.0,-0.0339614,54.0,0.0,1.44152,-1.72e-10,-0.306425,6621.19,-600.477,0.0,-6.56e-09,0.0,-2.18e-08,48.5,0.0275768,48.5,0.0,-1.30319,999.0,2.0,1.0,17.11272196770883,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1851.89,-6.73193,False,-0.9999979111286345,0.0020439516549447,1899.637892451569,8.176068780448675,-179.76,False,False,inf
17,17,401.645,10.8643,-0.00816659,1898.11,7.6697,0.000164517,-0.497693,-179.76,1328.58,-4.4e-05,-0.497596,-176.209,-0.0195274,0.000164517,-0.54992,0.00105082,-0.00323639,4.78271,0.000965803,10.8638,-0.0103606,4.7829,-179.76,-0.277445,0.00974053,0.0,0.375106,0.495,0.0,-1.0,0.271434,1.64975,7.62e-05,1851.99,-6.73184,0.0,0.0,0.0,0.0,17.7578,-6.86e-06,17.7578,0.0,0.000884984,0.98,0.0845879,1262.05,-0.0468246,0.0,3.21e-19,0.0,-4.01e-17,12.2141,-0.00761388,12.2141,0.0,1.4281,-7.02e-10,0.377388,6106.89,664.103,0.0,-2.62e-12,0.0,-2.58e-17,54.0,-0.03397,54.0,0.0,1.44152,-3.18e-10,-0.306423,6620.98,-600.609,0.0,-3.6e-09,0.0,-2.18e-08,48.5,0.0275812,48.5,0.0,-1.30318,999.0,2.0,1.0,17.082728356149598,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1851.99,-6.73184,False,-0.9999979111286345,0.0020439516549447,1899.607892451569,8.175978780448675,-179.76,False,False,inf
18,18,401.661,10.8514,-0.00740527,1898.09,7.6696,0.000186097,-0.497321,-179.76,1333.96,0.000379953,-0.497224,-175.851,-0.021724,0.000186097,-0.0340214,0.00077759,-0.00323382,4.80205,0.00096698,10.851,-0.00959055,4.80224,-179.76,0.865472,0.0102559,0.0,0.375106,0.495,0.0,-1.0,0.271477,1.64974,7.58e-05,1852.08,-6.73175,0.0,0.0,0.0,0.0,17.8677,-6.83e-06,17.8677,0.0,0.000875027,0.98,0.0872766,1262.11,-0.0451643,0.0,3.03e-19,0.0,-3.79e-17,12.2794,-0.00785827,12.2794,0.0,1.46586,-8.52e-10,0.377386,6106.63,664.01,0.0,-4.08e-12,0.0,-4e-17,54.0,-0.0339786,54.0,0.0,1.44151,-4.65e-10,-0.306421,6620.77,-600.741,0.0,-6.43e-10,0.0,-2.18e-08,48.5,0.0275856,48.5,0.0,-1.30317,999.0,2.0,1.0,17.062733343752345,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1852.08,-6.73175,False,-0.9999979111286345,0.0020439516549447,1899.587892451569,8.175878780448675,-179.76,False,False,inf
19,19,401.677,10.8306,0.00634174,1898.07,7.66951,0.000200758,-0.496982,-179.76,1339.32,0.000164722,-0.496884,-175.353,-0.0233046,0.000200758,0.545715,0.000479081,-0.00323151,4.82137,0.000994917,10.8302,0.00410663,4.82157,-179.76,1.30566,0.0107608,0.0,0.371814,0.495,0.0,-1.0,0.27152,1.64974,7.53e-05,1852.17,-6.73166,0.0,0.0,0.0,0.0,17.9762,-6.79e-06,17.9762,0.0,0.000864605,0.98,0.0900436,1262.17,-0.0434363,0.0,2.88e-19,0.0,-3.6e-17,12.3439,-0.00810675,12.3439,0.0,1.50435,-4.42e-10,0.377387,6106.37,663.917,0.0,-4.59e-12,0.0,-4.5e-17,54.0,-0.0339765,54.0,0.0,1.44151,-2.71e-10,-0.306422,6620.56,-600.871,0.0,7.95e-11,0.0,-2.18e-08,48.5,0.0275844,48.5,0.0,-1.30318,999.0,2.0,1.0,17.042738164394205,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1852.17,-6.73166,False,-0.9999979111286345,0.0020439516549447,1899.567892451569,8.175788780448675,-179.76,False,False,inf
20,20,401.693,10.8294,-0.00409543,1898.05,7.66942,0.000208294,-0.496663,-179.76,1344.73,0.000130315,-0.496566,-175.616,-0.0245589,0.000208294,-0.138652,0.000463891,-0.00322928,4.84082,0.00099009,10.829,-0.00631055,4.84102,-179.76,-0.330432,0.0100477,0.0,0.378397,0.495,0.0,-1.0,0.271563,1.64974,7.49e-05,1852.26,-6.73157,0.0,0.0,0.0,0.0,18.0839,-6.74e-06,18.0839,0.0,0.000853893,0.98,0.0928596,1262.24,-0.0416661,0.0,2.73e-19,0.0,-3.41e-17,12.4079,-0.00835779,12.4079,0.0,1.5433,3.16e-10,0.377388,6106.11,663.825,0.0,-4.51e-12,0.0,-4.42e-17,54.0,-0.0339676,54.0,0.0,1.44152,1.35e-10,-0.306425,6620.35,-601.0,0.0,-5.93e-10,0.0,-2.18e-08,48.5,0.0275796,48.5,0.0,-1.30319,999.0,2.0,1.0,17.022742996838065,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1852.26,-6.73157,False,-0.9999979111286345,0.0020439516549447,1899.547892451569,8.175698780448675,-179.76,False,False,inf
21,21,401.709,10.8246,-0.000990882,1898.03,7.66932,0.000211689,-0.49637,-179.759,1350.15,0.000125287,-0.496273,-175.437,-0.0261335,0.000211689,0.0922834,-0.000203033,-0.00322703,4.86034,0.0010104,10.8241,-0.00324136,4.86054,-179.759,0.0431379,0.0103101,0.0,0.378397,0.495,0.0,-1.0,0.271606,1.64973,7.44e-05,1852.35,-6.73147,0.0,0.0,0.0,0.0,18.1916,-6.69e-06,18.1916,0.0,0.00084318,0.98,0.0956755,1262.3,-0.0398959,0.0,2.58e-19,0.0,-3.23e-17,12.4718,-0.00860883,12.4718,0.0,1.58225,1.08e-09,0.37739,6105.86,663.733,0.0,-4.43e-12,0.0,-4.34e-17,54.0,-0.0339587,54.0,0.0,1.44152,5.41e-10,-0.306427,6620.15,-601.129,0.0,-1.27e-09,0.0,-2.18e-08,48.5,0.0275749,48.5,0.0,-1.3032,999.0,2.0,1.0,17.002748020905326,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1852.35,-6.73147,False,-0.9999978753026398,0.002061404910695,1899.5278836151087,8.175624923526684,-179.759,False,False,inf
22,22,401.725,10.8057,0.00978664,1898.01,7.66923,0.000204048,-0.496115,-179.759,1355.6,-0.000192151,-0.496019,-175.705,-0.0310995,0.000204048,0.792336,-0.00125991,-0.00322309,4.87995,0.00107025,10.8051,0.00741659,4.88015,-179.759,-0.254096,0.0105569,0.0,0.375106,0.495,0.0,-1.0,0.27165,1.64973,7.38e-05,1852.45,-6.73138,0.0,0.0,0.0,0.0,18.2993,-6.64e-06,18.2993,0.0,0.000831745,0.98,0.0988107,1262.36,-0.0379887,0.0,2.46e-19,0.0,-3.07e-17,12.5358,-0.00889129,12.5358,0.0,1.62547,6.22e-10,0.37739,6105.6,663.64,0.0,-5.52e-12,0.0,-5.4e-17,54.0,-0.033959,54.0,0.0,1.44152,2.82e-10,-0.306427,6619.94,-601.258,0.0,-1.58e-09,0.0,-2.18e-08,48.5,0.0275759,48.5,0.0,-1.3032,999.0,2.0,1.0,16.98275287734296,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1852.45,-6.73138,False,-0.9999978753026398,0.002061404910695,1899.5078836151088,8.175534923526683,-179.759,False,False,inf
23,23,401.741,10.8051,-0.0057107,1897.99,7.66913,0.000166296,-0.495969,-179.759,1361.06,0.000384928,-0.495872,-175.026,-0.03698,0.000166296,-1.26173,-0.00243285,-0.00321918,4.89961,0.00111639,10.8046,-0.00817276,4.89981,-179.759,-0.668031,0.0103855,0.0,0.375106,0.495,0.0,-1.0,0.271693,1.64973,7.32e-05,1852.54,-6.73129,0.0,0.0,0.0,0.0,18.4071,-6.58e-06,18.4071,0.0,0.000820192,0.98,0.101999,1262.43,-0.0360591,0.0,2.33e-19,0.0,-2.91e-17,12.5998,-0.00917892,12.5998,0.0,1.66939,-3.1e-11,0.37739,6105.34,663.548,0.0,-6.8e-12,0.0,-6.65e-17,54.0,-0.0339608,54.0,0.0,1.44152,-8.73e-11,-0.306426,6619.73,-601.387,0.0,-1.83e-09,0.0,-2.18e-08,48.5,0.0275778,48.5,0.0,-1.3032,999.0,2.0,1.0,16.96275792602433,gaze,0.5025795681651173,0.449864235576775,-3.943013530322265,98.78389987186576,1218.524032033966,29.57744403921406,-3.914727238466412,-30.79277302678007,-0.0215160985532178,0.0716944383700054,0.9971945472222852,4.450026035308838,-32.12653105315779,-3.107588824919047,-32.31047782800635,0.0172417276204458,0.0913732562833122,0.9956674398938868,4.004278659820557,-1.274543506971865,-3.5111580316927293,-31.55162542739321,-0.0021371854663859,0.0815338473266588,0.996430993558086,4.227152347564697,2.5001534988017697,True,0.0,imu,-0.5431227424,-9.8031262392,1.9505762808,-0.14195382,2.36219355,-3.96742733,83.6803452,-18.03616840000002,119.8808224,1852.54,-6.73129,False,-0.9999978753026398,0.002061404910695,1899.4878836151088,8.175434923526684,-179.759,False,False,inf
